id,user,uid,version,changeset,timestamp
4652229,MuzikMachine,1820014,15,32759579,2015-07-20T17:51:32Z
4652230,marinad_telenav,3277198,21,44211955,2016-12-06T15:08:49Z
4663172,abDoug,3789884,9,40262052,2016-06-24T14:13:39Z
4663173,arming_telenav,4827171,18,49558770,2017-06-15T11:44:25Z
4676377,marinad_telenav,3277198,15,44866334,2017-01-03T09:49:20Z
4684551,abDoug,3789884,6,49592605,2017-06-16T14:00:26Z
4684552,abDoug,3789884,9,49592605,2017-06-16T14:00:26Z
4684553,JamesBadger,901180,8,21521600,2014-04-05T20:50:44Z
4684561,dbo-osm,37130,6,20796902,2014-02-26T19:36:42Z
4684585,rzach,420565,7,12458279,2012-07-23T22:46:31Z
4684588,oanac2_telenav,4827272,5,46367460,2017-02-24T13:23:47Z
4684589,Ashley D,3472721,12,36310573,2016-01-02T03:20:28Z
4688207,abDoug,3789884,10,42645497,2016-10-05T00:34:59Z
4688208,JamesBadger,901180,10,28476066,2015-01-28T22:22:44Z
4688209,MuzikMachine,1820014,16,51153926,2017-08-15T22:18:48Z
4688214,marinad_telenav,3277198,15,44785794,2016-12-30T14:38:13Z
4688226,arming_telenav,4827171,39,48334643,2017-05-02T12:49:53Z
4688228,MuzikMachine,1820014,13,51153926,2017-08-15T22:34:11Z
4695914,arming_telenav,4827171,15,49532091,2017-06-14T14:42:52Z
4703084,abDoug,3789884,10,48947828,2017-05-24T13:26:38Z
4703085,marinad_telenav,3277198,13,43946495,2016-11-25T15:20:53Z
4716886,ToagaDevWorks,1218455,11,48195749,2017-04-27T13:54:34Z
4716889,andrewpmk,1679,5,24092001,2014-07-11T23:41:09Z
4716890,abDoug,3789884,10,47445039,2017-04-04T14:49:20Z
4716893,Silvermane,186339,3,3973208,2010-02-25T17:16:43Z
4716894,Green1,113963,2,255185,2009-04-06T06:15:47Z
4716895,sbrown,361745,4,35637298,2015-11-28T22:32:00Z
4716896,Silvermane,186339,4,3973208,2010-02-25T17:24:22Z
4716897,andrewpmk,1679,5,21210707,2014-03-20T14:16:54Z
4716899,Zippanova,31437,5,14629482,2013-01-13T00:57:46Z
4716900,abDoug,3789884,4,41987122,2016-09-07T19:08:44Z
4716902,abDoug,3789884,6,42739876,2016-10-08T18:30:43Z
4716903,abDoug,3789884,8,42739876,2016-10-08T18:30:43Z
4716904,abDoug,3789884,8,42003394,2016-09-08T12:49:17Z
4716905,abDoug,3789884,12,48165990,2017-04-26T14:55:10Z
4716907,andrewpmk,1679,5,21210707,2014-03-20T14:16:57Z
4716915,marinad_telenav,3277198,20,44186915,2016-12-05T16:07:38Z
4716918,Zippanova,31437,16,19350271,2013-12-08T23:34:40Z
4716919,Iggy,8236,12,3414070,2009-12-20T14:48:06Z
4716922,abDoug,3789884,23,47070394,2017-03-22T14:41:30Z
4716927,andrewpmk,1679,12,21234166,2014-03-21T20:54:37Z
4716930,andrewpmk,1679,13,21234166,2014-03-21T20:54:36Z
4716933,abDoug,3789884,5,42218041,2016-09-17T00:40:12Z
4716936,arming_telenav,4827171,9,49531292,2017-06-14T14:09:44Z
4716940,abDoug,3789884,10,42228239,2016-09-17T14:32:40Z
4716943,arming_telenav,4827171,4,47066047,2017-03-22T11:55:07Z
4716946,abDoug,3789884,5,44629911,2016-12-23T18:09:24Z
4716948,arming_telenav,4827171,4,47066047,2017-03-22T11:55:07Z
4716949,andrewpmk,1679,9,21234166,2014-03-21T20:54:35Z
4716952,abDoug,3789884,12,47978841,2017-04-20T17:27:03Z
4716955,MuzikMachine,1820014,9,19135802,2013-11-26T22:38:00Z
4716957,abDoug,3789884,13,44630133,2016-12-23T18:18:56Z
4716958,abDoug,3789884,6,44630133,2016-12-23T18:18:56Z
4716964,abDoug,3789884,6,42218041,2016-09-17T00:40:11Z
4716974,abDoug,3789884,29,45330829,2017-01-20T16:29:57Z
4716989,arming_telenav,4827171,8,47097050,2017-03-23T13:23:07Z
4716992,abDoug,3789884,5,47430850,2017-04-04T04:48:59Z
4717017,MuzikMachine,1820014,4,35469063,2015-11-20T19:18:44Z
4717025,sbrown,361745,3,8519734,2011-06-23T01:43:10Z
4721853,gabis_telenav,2929338,22,41638038,2016-08-23T13:16:52Z
4721872,Zippanova,31437,13,16197704,2013-05-19T18:29:23Z
4721876,abDoug,3789884,8,42586021,2016-10-02T16:06:56Z
4781820,simonap_telenav,4827180,17,43940838,2016-11-25T10:08:38Z
4794465,Zippanova,31437,24,22304612,2014-05-13T04:26:31Z
4794466,arming_telenav,4827171,18,47470847,2017-04-05T09:57:04Z
4794469,simonap_telenav,4827180,28,46644556,2017-03-07T08:31:35Z
4794470,abDoug,3789884,14,44851171,2017-01-02T17:51:01Z
4794596,andrewpmk,1679,7,21234166,2014-03-21T20:54:42Z
4794598,abDoug,3789884,8,51439894,2017-08-25T17:06:55Z
4794600,andrewpmk,1679,5,21234166,2014-03-21T20:54:36Z
4794601,andrewpmk,1679,6,21234166,2014-03-21T20:54:37Z
4794603,abDoug,3789884,10,44635251,2016-12-23T22:39:57Z
4794604,andrewpmk,1679,8,21234166,2014-03-21T20:54:34Z
4794605,andrewpmk,1679,7,21234166,2014-03-21T20:54:42Z
4794606,abDoug,3789884,8,44630133,2016-12-23T18:18:56Z
4794610,abDoug,3789884,4,42218041,2016-09-17T00:40:12Z
4794611,abDoug,3789884,7,44635251,2016-12-23T22:39:57Z
4794630,andrewpmk,1679,3,21234166,2014-03-21T20:54:42Z
4794639,andrewpmk,1679,6,21234166,2014-03-21T20:54:34Z
4794642,lorandr_telenav,4973384,5,47225979,2017-03-28T10:57:56Z
4794651,arming_telenav,4827171,6,47118342,2017-03-24T08:34:08Z
4794654,andrewpmk,1679,7,21234166,2014-03-21T20:54:42Z
4794672,andrewpmk,1679,3,21234166,2014-03-21T20:54:41Z
4794674,andrewpmk,1679,7,21234166,2014-03-21T20:54:41Z
4794676,abDoug,3789884,12,42218140,2016-09-17T00:55:23Z
4794677,JamesBadger,901180,5,21918265,2014-04-24T21:35:45Z
4794678,oanac2_telenav,4827272,5,46358634,2017-02-24T06:51:38Z
4794685,andrewpmk,1679,7,21234166,2014-03-21T20:54:32Z
4794686,kartler175,834127,9,36763068,2016-01-23T18:11:58Z
4794691,arming_telenav,4827171,6,47066047,2017-03-22T11:55:07Z
4794692,Evel1,6418427,8,50784137,2017-08-02T15:45:15Z
4794694,abDoug,3789884,6,44629134,2016-12-23T17:55:14Z
4794695,JamesBadger,901180,6,21918204,2014-04-24T21:32:16Z
4794696,Evel1,6418427,4,50784125,2017-08-02T15:44:49Z
4794697,arming_telenav,4827171,4,47118319,2017-03-24T08:33:12Z
4794698,kartler175,834127,15,46193555,2017-02-18T14:14:59Z
4794699,JamesBadger,901180,5,21918204,2014-04-24T21:32:18Z
4794706,andrewpmk,1679,6,21234166,2014-03-21T20:54:39Z
4802485,Jbah,6357263,11,51238160,2017-08-18T16:33:07Z
4802502,simonap_telenav,4827180,10,46341243,2017-02-23T15:19:42Z
4802503,gabis_telenav,2929338,3,40180926,2016-06-21T13:29:43Z
4802506,abDoug,3789884,42,43039409,2016-10-20T17:05:52Z
4802541,Zippanova,31437,10,14630726,2013-01-13T07:11:37Z
4802542,abDoug,3789884,12,45301980,2017-01-19T16:37:25Z
4802568,abDoug,3789884,4,45298964,2017-01-19T14:37:01Z
4802584,marinad_telenav,3277198,5,44902307,2017-01-04T16:17:06Z
4803392,camwatson,83297,5,12513882,2012-07-27T16:53:59Z
4803398,camwatson,83297,5,12513882,2012-07-27T16:53:59Z
4803400,abDoug,3789884,8,45331491,2017-01-20T16:54:38Z
4803401,abDoug,3789884,5,45302286,2017-01-19T16:47:31Z
4803402,kartler175,834127,5,43404959,2016-11-04T16:45:27Z
4803523,andrewpmk,1679,5,21234166,2014-03-21T20:54:42Z
4803524,andrewpmk,1679,5,21234166,2014-03-21T20:54:42Z
4803532,abDoug,3789884,15,47904168,2017-04-18T12:19:35Z
4803540,MuzikMachine,1820014,6,32040510,2015-06-17T23:38:30Z
4803552,abDoug,3789884,3,42218171,2016-09-17T01:00:34Z
4803553,abDoug,3789884,9,42218140,2016-09-17T00:55:23Z
4803554,andrewpmk,1679,9,21234166,2014-03-21T20:54:41Z
4803555,andrewpmk,1679,4,21234166,2014-03-21T20:54:41Z
4803556,abDoug,3789884,6,48165659,2017-04-26T14:44:23Z
4803557,abDoug,3789884,10,48165659,2017-04-26T14:44:23Z
4803567,andrewpmk,1679,6,21234166,2014-03-21T20:54:41Z
4803600,abDoug,3789884,4,42228239,2016-09-17T14:32:39Z
4803601,abDoug,3789884,7,44629911,2016-12-23T18:09:23Z
4803602,andrewpmk,1679,6,21234166,2014-03-21T20:54:35Z
4803603,abDoug,3789884,3,42218093,2016-09-17T00:48:00Z
4803604,andrewpmk,1679,3,21234166,2014-03-21T20:54:41Z
4803605,andrewpmk,1679,11,21234166,2014-03-21T20:54:36Z
4803606,andrewpmk,1679,6,21234166,2014-03-21T20:54:41Z
4803609,abDoug,3789884,6,47979727,2017-04-20T17:54:34Z
4803612,andrewpmk,1679,7,21234166,2014-03-21T20:54:40Z
4803613,andrewpmk,1679,6,21234166,2014-03-21T20:54:33Z
4803633,andrewpmk,1679,11,21234166,2014-03-21T20:54:35Z
4803634,andrewpmk,1679,5,21234166,2014-03-21T20:54:26Z
4803637,andrewpmk,1679,5,21234166,2014-03-21T20:54:25Z
4803638,abDoug,3789884,4,42988881,2016-10-18T16:59:10Z
4803639,arming_telenav,4827171,6,47506747,2017-04-06T13:01:59Z
4803640,abDoug,3789884,4,44771310,2016-12-29T23:08:00Z
4803641,lorandr_telenav,4973384,5,47116158,2017-03-24T07:17:33Z
4803642,abDoug,3789884,3,44771310,2016-12-29T23:08:00Z
4803643,abDoug,3789884,2,44771310,2016-12-29T23:08:00Z
4803644,Zippanova,31437,9,17841910,2013-09-14T23:09:47Z
4803645,Zippanova,31437,3,14494492,2013-01-02T02:39:13Z
4803646,barnecut,748313,6,34984093,2015-10-31T01:53:53Z
4803647,rzach,420565,2,12949274,2012-09-02T05:31:33Z
4803649,abDoug,3789884,4,44770948,2016-12-29T22:45:29Z
4803650,rzach,420565,2,12949274,2012-09-02T05:31:33Z
4803651,rzach,420565,2,12949274,2012-09-02T05:31:33Z
4803652,abDoug,3789884,6,44806478,2016-12-31T13:33:33Z
4803653,barnecut,748313,3,12962411,2012-09-03T04:05:21Z
4803654,rzach,420565,2,12949274,2012-09-02T05:31:33Z
4803655,rzach,420565,2,12949274,2012-09-02T05:31:33Z
4803656,arming_telenav,4827171,5,48356293,2017-05-03T07:23:00Z
4803657,abDoug,3789884,4,51440100,2017-08-25T17:15:54Z
4803658,abDoug,3789884,6,51440277,2017-08-25T17:21:48Z
4803661,Zippanova,31437,4,14494492,2013-01-02T02:31:25Z
4803664,abDoug,3789884,3,42988103,2016-10-18T16:30:11Z
4803665,abDoug,3789884,5,42988103,2016-10-18T16:30:11Z
4803666,abDoug,3789884,4,44771032,2016-12-29T22:50:45Z
4803670,lorandr_telenav,4973384,3,47116158,2017-03-24T07:17:33Z
4803671,rzach,420565,3,12949274,2012-09-02T05:39:07Z
4803672,abDoug,3789884,6,51440100,2017-08-25T17:15:54Z
4803675,abDoug,3789884,2,44771397,2016-12-29T23:14:05Z
4803676,lorandr_telenav,4973384,3,47116158,2017-03-24T07:17:33Z
4803678,andrewpmk,1679,5,21220687,2014-03-21T02:11:02Z
4803679,Zippanova,31437,3,14494492,2013-01-02T02:14:37Z
4803682,Zippanova,31437,3,14494492,2013-01-02T02:14:37Z
4803686,Zippanova,31437,3,14494492,2013-01-02T02:14:37Z
4803689,mziehm,1106095,4,14845697,2013-01-30T10:50:16Z
4803690,Zippanova,31437,3,14494492,2013-01-02T02:14:38Z
4803691,Zippanova,31437,3,14494492,2013-01-02T02:14:38Z
4803692,lorandr_telenav,4973384,5,49128200,2017-05-31T08:34:43Z
4803694,mziehm,1106095,4,14845697,2013-01-30T10:50:16Z
4803695,marinad_telenav,3277198,2,44259352,2016-12-08T14:34:39Z
4803696,Zippanova,31437,3,14494492,2013-01-02T02:14:38Z
4803698,georges_telenav,5245700,11,47009205,2017-03-20T11:05:55Z
4803699,lorandr_telenav,4973384,6,47116158,2017-03-24T07:17:33Z
4803701,lorandr_telenav,4973384,7,47116158,2017-03-24T07:17:33Z
4803703,abDoug,3789884,4,44771497,2016-12-29T23:21:02Z
4803704,JamesBadger,901180,5,41501762,2016-08-16T23:55:42Z
4803705,Zippanova,31437,17,14338222,2012-12-20T00:17:38Z
4803706,Iggy,8236,2,4558218,2010-04-29T14:07:04Z
4803707,abDoug,3789884,4,46849624,2017-03-14T18:42:57Z
4803708,Zippanova,31437,7,14529895,2013-01-04T19:06:04Z
4803709,abDoug,3789884,8,45371522,2017-01-22T15:19:44Z
4803713,abDoug,3789884,8,45371377,2017-01-22T15:12:30Z
4803714,JamesBadger,901180,6,40148860,2016-06-20T05:42:45Z
4803716,Zippanova,31437,5,14408234,2012-12-26T04:21:38Z
4803718,JamesBadger,901180,5,41501762,2016-08-16T23:55:40Z
4803719,JamesBadger,901180,9,41501762,2016-08-16T23:55:38Z
4803721,JamesBadger,901180,9,41501762,2016-08-16T23:55:39Z
4803722,JamesBadger,901180,6,40148860,2016-06-20T05:42:45Z
4803723,abDoug,3789884,7,45371377,2017-01-22T15:12:30Z
4803724,abDoug,3789884,7,45371522,2017-01-22T15:19:44Z
4803726,Iggy,8236,4,4158335,2010-03-18T01:48:59Z
4803728,andrewpmk,1679,6,21220687,2014-03-21T02:11:05Z
4803729,JamesBadger,901180,6,41501762,2016-08-16T23:55:37Z
4803730,JamesBadger,901180,10,40148860,2016-06-20T05:42:46Z
4803732,JamesBadger,901180,9,40148860,2016-06-20T05:42:46Z
4803735,abDoug,3789884,5,48175056,2017-04-26T20:51:26Z
4803736,JamesBadger,901180,7,41501762,2016-08-16T23:55:39Z
4803738,abDoug,3789884,11,48174863,2017-04-26T20:41:13Z
4803740,andrewpmk,1679,5,21220687,2014-03-21T02:11:05Z
4803742,JamesBadger,901180,4,40148860,2016-06-20T05:42:45Z
4803744,JamesBadger,901180,5,40148860,2016-06-20T05:42:45Z
4803745,lorandr_telenav,4973384,6,47116158,2017-03-24T07:17:33Z
4803746,lorandr_telenav,4973384,4,47116158,2017-03-24T07:17:33Z
4803748,JamesBadger,901180,4,49036616,2017-05-28T03:37:45Z
4803750,JamesBadger,901180,7,50650144,2017-07-28T13:47:57Z
4803751,JamesBadger,901180,7,50650144,2017-07-28T13:47:57Z
4803752,JamesBadger,901180,6,50650144,2017-07-28T13:47:58Z
4803753,abDoug,3789884,9,45036827,2017-01-09T20:49:28Z
4803759,JamesBadger,901180,7,48287803,2017-04-30T17:48:03Z
4803760,JamesBadger,901180,9,49579646,2017-06-16T04:49:33Z
4803761,rzach,420565,5,12578126,2012-08-01T19:56:22Z
4803762,abDoug,3789884,15,41133344,2016-07-30T20:07:48Z
4803768,andrewpmk,1679,4,21220687,2014-03-21T02:10:47Z
4803770,andrewpmk,1679,4,21220687,2014-03-21T02:10:46Z
4803773,abDoug,3789884,4,45054339,2017-01-10T15:59:00Z
4803774,abDoug,3789884,7,45031812,2017-01-09T17:32:37Z
4803775,JamesBadger,901180,8,48287803,2017-04-30T17:48:03Z
4803776,JamesBadger,901180,5,47644724,2017-04-11T03:47:21Z
4803777,JamesBadger,901180,12,48106438,2017-04-25T01:31:55Z
4803779,JamesBadger,901180,6,40148860,2016-06-20T05:42:46Z
4803780,JamesBadger,901180,5,40148860,2016-06-20T05:42:45Z
4803781,JamesBadger,901180,10,41501762,2016-08-16T23:55:42Z
4803782,Iggy,8236,3,4217995,2010-03-24T02:22:31Z
4803783,JamesBadger,901180,7,41501762,2016-08-16T23:55:37Z
4803784,JamesBadger,901180,6,41501762,2016-08-16T23:55:41Z
4803786,Zippanova,31437,6,14529895,2013-01-04T19:21:31Z
4803787,andrewpmk,1679,3,21220687,2014-03-21T02:10:46Z
4803789,abDoug,3789884,4,45031599,2017-01-09T17:24:07Z
4803793,abDoug,3789884,5,45054632,2017-01-10T16:11:56Z
4803794,abDoug,3789884,3,42499343,2016-09-28T16:50:19Z
4803796,abDoug,3789884,7,45031599,2017-01-09T17:24:08Z
4803802,lucca gaulois,1467154,4,29298677,2015-03-06T21:35:39Z
4803810,abDoug,3789884,3,45031812,2017-01-09T17:32:38Z
4803811,abDoug,3789884,3,45031812,2017-01-09T17:32:38Z
4803812,abDoug,3789884,4,45031812,2017-01-09T17:32:38Z
4803813,JamesBadger,901180,6,48213719,2017-04-28T02:48:44Z
4803814,lorandr_telenav,4973384,12,47116158,2017-03-24T07:17:33Z
4803815,JamesBadger,901180,4,48213719,2017-04-28T02:48:44Z
